id,dogId,measureTime,ax,ay,az,bcg,gx,gy,gz,temperature
79057,6,2024-08-24 13:40:58.835+00,8486,6678,-10296,8555,1667,8827,-1553,38.50434875488281
79059,6,2024-08-24 13:40:58.856+00,8864,7432,-11120,9191,1028,6342,-1480,38.50434875488281
79062,6,2024-08-24 13:40:58.886+00,10134,7956,-11072,6474,2796,8375,1028,38.50434875488281
79064,6,2024-08-24 13:40:58.906+00,11078,9764,-9598,7434,-3916,2894,2125,38.50434875488281
79067,6,2024-08-24 13:40:58.936+00,9940,6756,-8616,8348,-14079,3484,2553,38.50434875488281
79069,6,2024-08-24 13:40:58.956+00,6230,5962,-7962,8420,-13255,4326,2310,38.50434875488281
79072,6,2024-08-24 13:40:58.986+00,11126,6814,-12218,7349,-6290,5057,5560,38.50434875488281
79074,6,2024-08-24 13:40:59.007+00,11270,11974,-5932,8135,-4459,165,13407,38.50434875488281
79077,6,2024-08-24 13:40:59.037+00,10992,10034,-6174,6944,-5381,-4991,18951,38.50434875488281
79079,6,2024-08-24 13:40:59.057+00,10742,8478,-6098,6514,-4272,-6665,16053,38.50434875488281
79080,6,2024-08-24 13:40:59.064+00,11320,7628,-7004,7043,-2752,-8515,13112,38.50434875488281
79082,6,2024-08-24 13:40:59.084+00,17400,6524,-7582,8162,-7561,-9795,5464,38.50434875488281
79084,6,2024-08-24 13:40:59.104+00,16422,5902,-8408,8697,-8325,-4908,4121,38.50434875488281
79085,6,2024-08-24 13:40:59.114+00,15060,6530,-8606,8738,-7016,-3045,3100,38.50434875488281
79087,6,2024-08-24 13:40:59.136+00,13242,7848,-7804,7233,-4282,1753,-2391,38.50434875488281
